[GIN] 2024/10/29 - 14:06:48 | 404 |     596.709µs |             ::1 | GET      "/philosophy"
[GIN] 2024/10/29 - 14:06:48 | 200 |    4.153875ms |             ::1 | GET      "/static/css/style.css"
[GIN] 2024/10/29 - 14:06:49 | 304 |     473.333µs |             ::1 | GET      "/static/font/Montserrat-Light.ttf"
[GIN] 2024/10/29 - 14:06:49 | 200 |    1.268542ms |             ::1 | GET      "/static/font/Montserrat-ExtraBold.ttf"
[GIN] 2024/10/29 - 14:06:49 | 404 |     170.167µs |             ::1 | GET      "/favicon.ico"
[GIN] 2024/10/29 - 14:06:49 | 200 |     942.875µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:06:49 | 404 |        90.5µs |             ::1 | GET      "/static/images/favicon.ico"
[GIN] 2024/10/29 - 14:06:54 | 200 |     869.208µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:06:55 | 200 |     512.541µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:06:55 | 200 |     580.167µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:06:55 | 200 |     311.375µs |             ::1 | GET      "/RTSGCGPRC"
[GIN] 2024/10/29 - 14:06:55 | 304 |     158.416µs |             ::1 | GET      "/static/images/Corporate Party Organisation.png"
[GIN] 2024/10/29 - 14:06:55 | 304 |      88.542µs |             ::1 | GET      "/static/font/Montserrat-LightItalic.ttf"
[GIN] 2024/10/29 - 14:06:59 | 200 |     124.166µs |             ::1 | GET      "/reading"
[GIN] 2024/10/29 - 14:07:00 | 200 |     196.958µs |             ::1 | GET      "/RTSGSOPRC"
[GIN] 2024/10/29 - 14:07:00 | 200 |     311.708µs |             ::1 | GET      "/RTSGCGPRC"
[GIN] 2024/10/29 - 14:07:02 | 200 |     931.417µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:20 | 200 |    1.197375ms |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:20 | 200 |     525.791µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:20 | 200 |     607.125µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:20 | 200 |     456.958µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:21 | 200 |         347µs |             ::1 | GET      "/reading"
[GIN] 2024/10/29 - 14:07:22 | 200 |         690µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:26 | 200 |      735.75µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:26 | 200 |     468.916µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:26 | 200 |     532.916µs |             ::1 | GET      "/"
[GIN] 2024/10/29 - 14:07:27 | 200 |      223.25µs |             ::1 | GET      "/reading"
[GIN] 2024/10/29 - 14:07:27 | 200 |     514.083µs |             ::1 | GET      "/"
